#{"t_start": 1715681333.7286725, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
70.0,529,246.361341
70.0,529,246.832186
70.0,529,247.319168
70.0,529,248.001802
70.0,529,248.475152
70.0,529,248.966304
70.0,529,249.463193
70.0,529,249.94718
70.0,529,250.693619
70.0,529,251.202356
70.0,529,251.707338
70.0,529,252.196633
70.0,529,252.732257
70.0,529,253.422798
70.0,529,253.914743
70.0,529,254.381221
70.0,529,254.867231
70.0,529,255.352709
70.0,529,256.057148
70.0,529,256.554166
70.0,529,257.023898
70.0,529,257.503242
70.0,529,257.970896
70.0,519,258.636256
70.0,519,259.082952
70.0,519,259.547241
70.0,519,259.999413
70.0,519,260.487582
70.0,519,261.189014
70.0,519,261.649131
70.0,519,262.120581
70.0,519,262.589994
70.0,519,263.051997
70.0,519,263.728918
70.0,519,264.202045
70.0,519,264.65839
70.0,519,265.116771
70.0,519,265.586192
70.0,519,266.255677
70.0,519,266.687299
70.0,519,267.121957
70.0,519,267.554753
70.0,519,268.027741
70.0,519,268.691556
70.0,519,269.128989
70.0,519,269.583414
70.0,519,270.034808
70.0,519,270.493359
70.0,519,271.168692
70.0,519,271.625173
70.0,519,272.087235
70.0,519,272.555073
70.0,519,273.034966
70.0,519,273.729442
70.0,519,274.19065
70.0,519,274.657906
70.0,519,275.132311
70.0,519,275.608175
70.0,519,276.300872
70.0,519,276.759235
70.0,519,277.232666
70.0,519,277.708678
70.0,519,278.174113
70.0,519,278.847047
70.0,519,279.289257
70.0,519,279.747324
70.0,519,280.198871
70.0,519,280.667195
70.0,519,281.377896
70.0,519,281.834005
70.0,519,282.298163
70.0,519,282.772914
70.0,519,283.257633
70.0,519,283.928319
70.0,519,284.386695
70.0,519,284.871771
70.0,519,285.357275
70.0,519,285.840034
70.0,529,286.546592
70.0,529,287.021795
70.0,529,287.494039
70.0,529,287.968172
70.0,529,288.451641
70.0,529,289.157519
70.0,529,289.629977
70.0,529,290.105182
70.0,529,290.574538
70.0,529,291.067342
70.0,529,291.756036
70.0,529,292.237201
70.0,529,292.709636
70.0,529,293.195778
70.0,529,293.690701
70.0,529,294.383358
70.0,529,294.850436
70.0,529,295.313089
70.0,529,295.80885
70.0,529,296.284553
70.0,529,296.972912
70.0,529,297.431991
70.0,529,297.910465
70.0,529,298.369585
70.0,529,298.833921
70.0,529,299.534163
70.0,529,300.019409
70.0,529,300.499489
70.0,529,300.994789
70.0,529,301.492495
70.0,529,302.18926
70.0,529,302.697978
70.0,529,303.160582
70.0,529,303.578175
70.0,529,304.041697
70.0,529,304.666354
70.0,529,305.070546
70.0,529,305.507802
70.0,529,305.929384
70.0,529,306.332279
70.0,529,306.911391
70.0,529,307.309457
70.0,529,307.721274
70.0,529,308.124041
70.0,529,308.542561
70.0,529,309.121973
70.0,529,309.555469
70.0,529,309.969248
70.0,529,310.404778
70.0,529,310.843581
70.0,529,311.470377
70.0,529,311.929878
70.0,529,312.362247
70.0,529,312.790158
70.0,529,313.224427
70.0,529,313.854774
70.0,529,314.314062
70.0,529,314.807797
70.0,529,315.252404
70.0,529,315.669103
70.0,529,316.303896
70.0,529,316.728765
70.0,529,317.127508
70.0,529,317.561873
70.0,529,317.961723
70.0,529,318.545311
70.0,529,318.943849
70.0,529,319.346534
70.0,529,319.742509
70.0,529,320.152134
160.0,523,320.728784
160.0,523,321.142791
160.0,523,321.557609
160.0,523,322.035618
160.0,523,322.450847
70.0,519,323.064302
70.0,519,323.47726
70.0,519,323.911915
70.0,519,324.333032
70.0,519,324.75865
70.0,519,325.387704
70.0,519,325.814672
70.0,519,326.273173
70.0,519,326.707337
70.0,519,327.146476
70.0,529,327.822504
70.0,529,328.265837
70.0,529,328.735429
70.0,529,329.190597
70.0,529,329.663664
70.0,529,330.359231
70.0,529,330.837711
70.0,529,331.336733
70.0,529,331.802695
70.0,529,332.289851
70.0,529,332.989675
70.0,529,333.456955
70.0,529,333.926262
70.0,529,334.42085
70.0,529,334.900579
70.0,529,335.582824
70.0,529,336.045309
70.0,529,336.531415
70.0,529,337.017227
70.0,529,337.493417
70.0,529,338.174144
70.0,529,338.645358
70.0,529,339.097658
70.0,529,339.559032
70.0,529,340.058116
70.0,529,340.755943
70.0,529,341.223017
70.0,529,341.722988
70.0,529,342.202021
70.0,529,342.672699
70.0,529,343.375854
70.0,529,343.84207
70.0,529,344.315266
70.0,529,344.781768
70.0,529,345.250657
70.0,529,345.943356
70.0,529,346.42363
70.0,529,346.896673
70.0,529,347.363039
70.0,529,347.850513
70.0,529,348.543707
70.0,529,349.01338
70.0,529,349.506065
70.0,529,350.000108
70.0,529,350.494138
70.0,529,351.191763
70.0,529,351.683685
70.0,529,352.158967
70.0,529,352.645055
70.0,529,353.122378
70.0,529,353.886224
70.0,529,354.360423
70.0,529,354.828572
70.0,529,355.297232
70.0,529,355.765203
70.0,529,356.432072
70.0,529,356.890475
70.0,529,357.338732
70.0,529,357.782389
70.0,529,358.244852
70.0,529,358.924407
70.0,529,359.382608
70.0,529,359.843841
70.0,529,360.304464
70.0,529,360.769739
70.0,529,361.443205
70.0,529,361.898607
70.0,529,362.348749
70.0,529,362.798457
70.0,529,363.262724
70.0,529,363.93919
70.0,529,364.397587
70.0,529,364.860065
70.0,529,365.323929
70.0,529,365.785798
70.0,529,366.455162
70.0,529,366.90687
70.0,529,367.354646
70.0,529,367.800716
70.0,529,368.262094
70.0,529,368.946771
70.0,529,369.411897
70.0,529,369.873258
70.0,529,370.337467
70.0,529,370.797891
70.0,529,371.47765
70.0,529,371.945741
70.0,529,372.407149
70.0,529,372.870126
70.0,529,373.336603
70.0,529,374.005577
70.0,529,374.448804
70.0,529,374.894468
70.0,529,375.341825
70.0,529,375.80598
70.0,529,376.473057
70.0,529,376.930288
70.0,529,377.389511
70.0,529,377.842785
70.0,529,378.307905
70.0,529,378.970196
70.0,529,379.422375
70.0,529,379.863894
70.0,529,380.317241
70.0,529,380.776095
70.0,529,381.443479
