#{"t_start": 1715635368.0384052, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
220.0,371,300.424185
120.0,335,300.642341
140.0,445,300.946475
370.0,459,301.257384
270.0,519,302.18973
230.0,589,302.589253
520.0,641,303.068406
230.0,589,303.528338
260.0,443,303.87515
410.0,489,304.814883
1240.0,659,305.264771
230.0,505,305.616574
230.0,505,306.067601
410.0,489,306.48969
440.0,597,307.717582
340.0,545,308.174522
350.0,583,308.648508
220.0,515,309.089952
280.0,549,309.544455
80.0,547,310.710827
330.0,507,311.047315
480.0,497,311.396668
220.0,517,311.737628
240.0,449,312.044301
160.0,369,312.900844
350.0,533,313.312835
170.0,369,313.588802
160.0,369,313.857696
160.0,369,314.130387
120.0,449,315.059291
170.0,461,315.373324
210.0,359,315.614731
170.0,385,315.905708
150.0,341,316.197536
250.0,403,317.253955
180.0,359,317.544458
500.0,847,318.276033
320.0,459,318.657242
870.0,591,319.155542
210.0,387,320.191905
250.0,481,320.609739
330.0,553,321.03002
530.0,1045,321.736992
560.0,487,322.068383
210.0,469,322.962812
100.0,531,323.367069
270.0,499,323.735546
250.0,793,324.333582
580.0,703,324.860863
80.0,531,325.863258
70.0,531,326.270026
80.0,531,326.718637
80.0,531,327.180556
80.0,531,327.638019
970.0,673,328.965706
400.0,713,329.532291
1050.0,609,330.033793
1050.0,625,330.575504
1050.0,625,331.084443
320.0,457,331.974058
380.0,581,332.364346
1020.0,681,332.851646
370.0,715,333.391986
280.0,331,333.637044
760.0,701,334.753728
620.0,697,335.227553
620.0,689,335.697692
620.0,657,336.220914
710.0,693,336.875569
640.0,689,338.200958
640.0,769,338.839352
280.0,545,339.292431
640.0,769,339.919813
640.0,769,340.554109
170.0,501,341.589931
520.0,627,342.004847
400.0,629,342.422482
180.0,441,342.719272
520.0,627,343.144381
110.0,465,344.073644
460.0,685,344.542329
490.0,625,345.000043
180.0,427,345.294576
110.0,465,345.691256
410.0,645,346.894315
430.0,617,347.419734
340.0,447,347.804174
250.0,485,348.235867
470.0,491,348.658982
370.0,541,349.864487
570.0,827,350.560817
490.0,665,351.150619
350.0,557,351.570409
370.0,587,351.965971
170.0,391,352.802969
160.0,417,353.091924
160.0,369,353.345748
170.0,391,353.63978
160.0,417,353.949948
290.0,499,354.887728
320.0,525,355.249608
330.0,461,355.572942
370.0,507,355.939896
210.0,329,356.198965
440.0,645,357.479816
540.0,605,357.992576
590.0,519,358.422918
450.0,445,358.791418
610.0,963,359.608853
1780.0,629,360.860552
1780.0,629,361.381654
1740.0,573,361.82678
1860.0,697,362.282011
1860.0,697,362.762243
680.0,577,363.777677
310.0,345,364.040806
500.0,641,364.523349
440.0,443,364.856654
500.0,703,365.385723
200.0,537,366.383777
460.0,675,366.861425
350.0,523,367.30526
390.0,701,367.914552
2060.0,737,368.545917
110.0,441,369.636039
110.0,359,369.930895
80.0,327,370.195565
160.0,465,370.568751
110.0,409,370.916278
970.0,747,372.191293
460.0,673,372.64065
1440.0,749,373.153336
460.0,673,373.611916
490.0,577,374.049352
530.0,607,375.12505
500.0,601,375.527801
570.0,833,376.098229
620.0,585,376.518953
780.0,819,377.276075
670.0,959,378.819622
680.0,875,379.54402
620.0,691,380.118556
400.0,761,380.750743
1210.0,747,381.416475
230.0,311,382.335251
470.0,607,382.748637
390.0,389,383.014928
350.0,387,383.296265
280.0,465,383.617111
70.0,529,384.558055
70.0,529,384.953019
70.0,529,385.341986
70.0,529,385.74647
70.0,529,386.139443
540.0,587,387.182223
430.0,543,387.653231
460.0,715,388.278748
350.0,501,388.696615
990.0,571,389.187961
150.0,517,390.342949
150.0,505,390.767066
270.0,471,391.144072
200.0,453,391.53432
260.0,521,391.980302
490.0,617,393.014178
530.0,629,393.436305
490.0,617,393.848015
400.0,443,394.161678
610.0,747,394.746279
360.0,365,395.618025
260.0,377,395.876479
620.0,881,396.478659
350.0,361,396.730846
260.0,313,396.971403
250.0,729,398.29106
250.0,729,398.93828
250.0,729,399.562932
250.0,729,400.189404
250.0,729,400.832148
680.0,641,402.100345
600.0,829,402.762499
430.0,541,403.11876
450.0,713,403.599884
470.0,715,404.096541
310.0,441,404.998738
340.0,719,405.539605
330.0,617,406.003017
620.0,683,406.523564
320.0,687,407.044763
260.0,605,408.252388
120.0,503,408.675839
120.0,515,409.121448
260.0,603,409.614424
70.0,527,410.066468
320.0,725,411.439691
640.0,735,412.036766
400.0,687,412.614547
400.0,687,413.075861
270.0,531,413.42437
130.0,531,414.353331
140.0,531,414.730453
150.0,531,415.119207
130.0,531,415.537482
130.0,531,415.940776
390.0,689,417.04097
570.0,523,417.398568
1130.0,1251,418.446369
800.0,897,419.210512
1240.0,567,419.666628
640.0,881,421.117039
640.0,881,421.848759
640.0,881,422.59847
640.0,881,423.239521
270.0,549,423.626472
100.0,341,424.467856
180.0,399,424.739626
180.0,397,425.036819
140.0,421,425.354603
320.0,673,425.871647
660.0,813,427.048853
220.0,537,427.416458
330.0,471,427.739251
510.0,579,428.19497
370.0,547,428.706292
120.0,413,429.754178
120.0,403,430.102219
340.0,653,430.682784
120.0,439,431.037477
120.0,439,431.386237
110.0,521,432.549725
110.0,529,432.984954
110.0,521,433.350316
110.0,521,433.701792
110.0,521,434.051313
1150.0,655,435.089952
660.0,681,435.565708
600.0,717,436.106696
540.0,919,436.806965
610.0,655,437.299191
450.0,627,438.411227
460.0,749,439.07995
470.0,693,439.676998
1110.0,665,440.274122
400.0,521,440.724755
300.0,569,441.911967
430.0,575,442.384735
300.0,569,442.869954
300.0,569,443.357895
300.0,569,443.736082
510.0,663,444.773791
220.0,515,445.126323
510.0,499,445.483155
400.0,689,445.994337
280.0,513,446.376178
500.0,525,447.363764
590.0,811,447.935169
440.0,665,448.40389
280.0,481,448.904443
440.0,571,449.376644
290.0,547,450.562226
210.0,517,451.002425
170.0,467,451.387535
190.0,411,451.731445
170.0,485,452.12324
590.0,681,453.412467
380.0,673,453.899415
420.0,745,454.413365
430.0,583,454.812391
380.0,673,455.289382
360.0,433,456.213266
360.0,435,456.507252
590.0,673,456.973562
400.0,511,457.317792
450.0,585,457.780962
370.0,461,458.785373
